Wavenumber (cm^-1)	Intensity profile for Laser = Block Engineering LaserTune LT-OEM [Q0252] - Block Engineering LaserTune LT-OEM [Q0252]: PiF (V)
1500	1.75000387991207e-4
1501	1.89051733846916e-4
1502	1.93833889273163e-4
1503	2.02958530923998e-4
1504	1.79335345633576e-4
1505	1.24942844809354e-4
1506	1.12553809907856e-4
1507	1.34171380894828e-4
1508	1.66405758528671e-4
1509	1.63925843545349e-4
1510	1.9130880279652e-4
1511	1.63656320301868e-4
1512	1.89580240318771e-4
1513	1.88229612668474e-4
1514	1.70450112897341e-4
1515	1.55507382906765e-4
1516	1.44797221840364e-4
1517	1.65485765781367e-4
1518	1.47135599477946e-4
1519	1.11940983315135e-4
1520	9.8585278456569e-5
1521	1.20415155462149e-4
1522	1.26433504088946e-4
1523	1.51550360091848e-4
1524	1.06680010059687e-4
1525	1.16685495830281e-4
1526	1.15226456596014e-4
1527	1.32390118341538e-4
1528	1.38453638461656e-4
1529	1.55013507913123e-4
1530	1.58967519295151e-4
1531	1.36917807688743e-4
1532	1.44929724887438e-4
1533	1.19069044961184e-4
1534	1.59443325691465e-4
1535	1.57948149262541e-4
1536	1.72169641076426e-4
1537	1.45641928765466e-4
1538	1.21692003006688e-4
1539	9.59066089026356e-5
1540	1.25016624915112e-4
1541	9.8395558184621e-5
1542	1.56082566588385e-4
1543	1.51845480514879e-4
1544	1.69858366334837e-4
1545	1.85975555151758e-4
1546	2.12688470585335e-4
1547	2.01169739788488e-4
1548	2.02181581238877e-4
1549	1.79062810957206e-4
1550	1.92767842030788e-4
1551	1.98722950566935e-4
1552	2.00192529816311e-4
1553	1.64910582099747e-4
1555	1.81884523573322e-4
1556	2.07990635279954e-4
1557	1.28926970520263e-4
1558	1.1246196120477e-4
1559	1.08140555010398e-4
1561	1.86105046765945e-4
1563	1.84870359281838e-4
1564	1.66288312646036e-4
1565	1.80749213374522e-4
1566	2.02237292747307e-4
1567	1.88059466710299e-4
1568	1.49294796858688e-4
1569	1.64254089730149e-4
1570	1.93380668623509e-4
1571	2.00906239410782e-4
1572	1.90845042131758e-4
1573	1.90616173232266e-4
1574	1.63764731885838e-4
1575	1.27627537229063e-4
1576	1.74919079303229e-4
1577	1.83037902369451e-4
1578	2.02859153638692e-4
1579	2.13200414176306e-4
1580	2.07852109367103e-4
1581	2.08496556005149e-4
1582	1.8766798043485e-4
1583	1.79719303326804e-4
1585	2.03085011105297e-4
1587	1.98885567942891e-4
1588	1.96642050441283e-4
